site_id,closest_gage,gage_riv_dist_m
4215_B03,11120510,3823.297686778737
4217_B03,11105510,1598.7330684272515
4221_B03,11048600,6471.620180977254
4222_B03,11047300,6199.942485005584
4226_B03,11088000,25404.801699889
4228_B03,11023000,21421.000406701016
4236_B03,11023000,110240.76290041563
4238_B03,11047300,15899.48688401008
4245_B03,11103500,4003.8198439706734
4247_B03,11119750,5051.822752840399
4257_B03,11048600,21012.828562455034
4258_B03,11088000,6495.788175388192
4264_B03,11023000,6522.404508461341
4268_B03,11023000,32896.77965123935
4271_B03,11119500,3828.400064059542
4272_B03,11042000,13966.154896925775
4276_B03,11023000,37573.52661480747
4284_B03,11023000,41265.88800570359
4286_B03,11047300,17951.723548389204
4288_B03,11048600,1187.7134769462737
4293_B03,11105510,528.055721528563
4296_B03,11042000,10209.816290417559
4300,11103500,20479.658388250646
4302_B03,11103000,3831.722792776656
4304_B03,11042000,13966.154896925775
4305_B03,11048600,9130.135339948194
4309_B03,11103500,24040.475221548524
4310_B03,11088000,5730.217711773748
4311_B03,11119780,7604.659984968338
4313_B03,11105510,8874.037253610666
4315_B03,11120550,11595.861881932402
4318_B03,11047300,7699.909863806319
4321_B03,11048600,17740.780538833806
4322_B03,11088000,10410.14805379737
4325_B03,11105510,9241.60284850542
4328_B03,11042000,8731.547474496434
4332_B03,11023000,48686.21614721151
4335_B03,11119500,5269.797218934366
4336_B03,11046250,1852.7883971192987
4337_B03,11048600,3304.2584526356104
4341_B03,11103500,18651.508077016355
4344_B03,11042000,10488.897419991195
4348_B03,11023000,114334.92406782566
4350_B03,11047300,6828.490283343191
4353_B03,11106550,12768.190177470558
4357_B03,11105510,5702.319173730546
4364_B03,11023000,110579.1013014914
4366_B03,11047300,17183.291420769252
4367_B03,11120550,8377.388941229688
4373_B03,11103500,2535.5039376203545
4375_B03,11119750,5051.822752840399
4386_B03,11088000,11501.46134441509
43LBR01,11023000,64513.19695841753
43LBR02,11023000,64543.97610108065
43LFL01,11023000,64513.19695841753
43LFL02,11023000,64486.53460827584
4408_B03,11088000,25630.730823535436
4418_B03,11023000,109239.70097512845
4422_B03,11114000,7608.970731608069
4424_B03,11088000,10259.22972707019
4440_B03,11103000,6805.1971906375475
4456_B03,11088000,15002.35368465579
4468_B03,11103000,4425.361934657167
448.5,11136100,4761.073646458736
4508_B03,11088000,4931.729934422954
4520_B03,11088000,6936.687070196633
4564_B03,11103000,3135.507890655368
4600_B03,11103000,5606.922816554144
4636_B03,11088000,4688.078647047823
4683_B03,11105510,1700.3904971875431
4728_B03,11103000,5606.922816554144
4778_B03,11103000,5074.848377216649
4788_B03,11103000,5074.848377216649
481M15356,11073000,2140.6872097364453
481S05856,11073000,3372.580942836731
4856_B03,11103000,6297.14086880538
4939_B03,11105510,1234.8409044525365
4999_B03,11120510,12355.443939581053
4SRANCH_PRKS,11023340,44321.76180188059
5-303,11143250,6486.534970757797
5-304,11143250,6486.534970757797
5-305,11143250,6268.6706082868095
5000,11118500,22474.458984887213
