event_id,start_date,end_date,flow_centroid_date,peak_flow_date,first_no_flow_date,no_flow_duration_days,flow_duration_days,no_flow_prop,flashiness,peak2zero_days,centoid2zero_days,recession,site
4,2015-09-15,2015-12-22,2015-09-20,2015-09-15,2015-09-16,96,3,0.9696969696969697,2.107142857142857,1,0,0.9062043033214957,911NP9EPC
5,2015-12-22,2016-12-17,2016-02-14,2016-01-08,2016-05-26,233,129,0.643646408839779,0.06519353740209617,139,102,0.007174707278255106,911NP9EPC
1,2016-01-07,2017-01-20,2016-02-05,2016-01-07,2016-01-08,372,8,0.9789473684210527,1.047677261613692,1,0,0.9993734335839599,911NP9HTC
1,2013-11-16,2014-12-03,2014-01-28,2014-03-01,2014-04-28,226,157,0.5900783289817232,0.07595579698125725,58,90,0.0171712924025792,911NP9UCW
2,2014-12-03,2015-11-04,2015-02-18,2014-12-17,2015-06-11,127,210,0.3768545994065282,0.0710003090553209,176,113,0.005401643690349948,911NP9UCW
3,2015-11-04,2016-11-26,2016-02-16,2016-01-31,2016-06-01,175,214,0.4498714652956298,0.05235602094240837,122,106,0.007644768179684648,911NP9UCW
4,2016-11-26,2017-09-21,2017-03-14,2017-01-23,2017-08-06,74,226,0.24666666666666667,0.056567033394995636,195,145,0.005128205128205128,911NP9UCW
1,2016-01-07,2016-12-30,2016-03-18,2016-01-31,2016-07-01,175,184,0.48746518105849584,0.030640006321633256,152,105,0.006486909363804992,911S00858
2,2016-12-31,2017-09-20,2017-04-17,2017-01-22,2017-09-12,0,264,0,0.05559709645243113,233,148,0.004291845493562232,911S00858
1,2015-04-25,2016-01-05,2015-05-21,2015-05-15,2015-05-25,222,34,0.8671875,0.23332640764595886,10,4,0.08654796094198737,911TJKC1x
2,2016-01-06,2016-12-22,2016-03-19,2016-01-07,2016-05-11,200,152,0.5681818181818182,0.0717065031707288,125,53,0.0076388282596209075,911TJKC1x
3,2016-12-22,2018-01-09,2017-04-05,2017-02-27,2017-08-06,69,238,0.2247557003257329,0.11715116297832014,160,123,0.006248564043653073,911TJKC1x
4,2018-01-09,2019-01-14,2018-03-22,2018-01-10,2018-05-23,212,159,0.5714285714285714,0.057997557997558,133,62,0.00704288003178538,911TJKC1x
5,2019-01-15,2019-11-20,2019-04-14,2019-02-14,2019-07-26,107,203,0.34516129032258064,0.06659267480577137,162,103,0.006172839506172839,911TJKC1x
6,2019-11-21,2020-12-20,2020-03-28,2020-04-10,2020-07-20,145,251,0.3661616161616162,0.0426156057764578,101,114,0.009894165752014605,911TJKC1x
1,2015-02-25,2015-12-22,2015-04-20,2015-05-15,2015-07-02,172,129,0.5714285714285714,0.06055463520411599,48,73,0.020773667462211615,911TJLCC2
2,2015-12-22,2016-08-02,2016-03-18,2016-02-01,2016-06-21,52,173,0.2311111111111111,0.052609800792102604,141,95,0.0070921985815602835,911TJLCC2
